-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,0,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,13,13,1,2,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,13,13,5,5,5,5,5,6,-1,-1,0,1,1,1,2,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,5,5,5,13,13,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,13,13,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,6,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,5,5,5,5,5,5,13,13,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,6,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,5,5,5,5,5,5,5,5,13,13,2,-1,-1,-1,-1,-1,-1,0,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,6,-1,-1,-1,-1
4,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,1,1,1,1,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,-1,-1,4,5,5,5,6,-1,-1,-1,-1
